Seq	Name	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Ref	Alias	8um	Unc	R0	PA	Hmag	4.5mag	Ak	Env	R0_fit	R0_sigma	pa_circ	delta_pa	Rc	Rc_sigma	R90p	R90p_sigma	R90n	R90n_sigma	th_p	th_m	th_p_841	th_m_841	th_p_210	th_m_210	th_g	dth_g	H_g	H_d	R0_g	Peak24	Contrast	Rating	Comment
1	G000.1169-00.5703	17	48	7.01	-	29	7	55.5	T		Y	C	26.4	27	8.97	8.72	0.22	I	31.012352802152755	1.1275493512334778	303.56938030571206	-83.43061969428794	31.567870022287913	1.5799484743844885	50.35689603819852	2.8921698181043753	48.64521965089289	4.665622658915512	73.49042488296102	-60.7837760603943	46.33289433193613	-31.369024270512284	108.81353646291237	-90.4557672960575	8.036901360547555	132.6389199567891	36.88013141278528	36.335763017477056	32.10773365663476	182.27903128666614	1.978760125749941	4	
2	G000.3100-01.0495	17	50	27.59	-	29	12	46.8	T		N	C	6.8	145	10.57	10.31	0.23	I	9.486523127907354	1.5509409353514934	149.85946580050825	4.8594658005082465	342.52831820451956	1.5257568986761063	12.005873718845715	2.5746857447301816	14.989763232424165	3.025688101975931	74.46623668378405	-69.04287209314593	23.625448242444207	-41.469991447236694	175.04989042491792	-107.71198670440961	-2.3374644646521574	112.5010477018503	8.606956944633644	12.309864610422705	7.242519742883457	25.20063935895258	0.539208642728649	3	
3	G001.0563-00.1499	17	48	41.78	-	28	6	37.8	T		Y		6.2	200	11.14	9.8	1.22	H	7.916108416400597	1.045119039290622	115.12117709913119	-84.87882290086881	7.757214118823926	1.2066016535780455	9.347040736470802	1.3470530495685409	13.59154779921941	1.7620991171787128	18.437416134914457	-100.21394733317909	18.437416134914457	-74.54390858563451	nan	nan	0.0	141.0	14.771941180759722	12.986370344575414	6.181362155402001	559.2997169437907	1.9991833024055479	3	
4	G001.2588-00.0780	17	48	53.4	-	27	53	59.7	T		N	C	10.2	215	12.28	11.22	0.96	FH	12.319016793726487	1.6987460311954299	208.83095292867503	-6.169047071324968	20.13824991426481	1.5479271611453411	22.14529872959024	1.3602555813881458	17.98109451065523	3.4100172080046804	72.2312184292241	-83.41954108314465	49.648076448940685	-26.83343973318719	110.77455148455016	-99.9977213956582	2.953344283282763	189.30088630969314	15.272561139767795	9.888361845418906	10.7026636539219	60.98021789667387	0.6255470845159168	3	
5	G003.5118-00.0470	17	53	56.0	-	25	56	50.3	T		N		8.6	135	10.69	9.69	0.91	I	11.512464461035943	0.34556128406787684	141.47614241940522	6.476142419405221	9.3206049687357	0.7881695524864343	16.572619533918374	4.121952034663101	11.39131071164124	0.8589112392684564	73.74760329401374	-111.31873405167423	42.33696645118286	-40.58779577974181	124.13585823083196	-144.99655601320944	-9.831784802590843	143.17173541692617	12.655440823656713	16.087403004297208	11.213650086098546	13.92195398648502	0.319450929905673	3	
6	G003.7391+00.1425	17	53	43.03	-	25	39	19.2	T		N		3.9	20	11.48	9.41	1.89	I	6.784962437529366	1.3798253111859162	41.385802009720756	21.385802009720756	4.107322787569171	1.3583829832158827	9.220968575278038	1.6659562277335076	7.154837309530873	1.9837600587007944	150.88329896183336	-92.24746613842342	112.7028655937462	-77.22378688675303	nan	nan	0.0	141.0	8.134277215036564	15.430887721234244	7.946413088794311	16.001862052535987	0.2968246549827754	1	
7	G003.8417-01.0440	17	58	30.64	-	26	9	49.1	T		Y		12.6	25	10.22	9.87	0.31	FB	12.610892821938764	0.08300701796294208	35.51153144168933	10.511531441689328	17.935069173503422	0.5718977109812602	24.364982260669567	3.1089168199225816	17.115540179864798	2.099320803220481	83.38964256273802	-72.85304630605339	64.67760194826317	-30.64649425030882	105.04215275377754	-103.41623492332798	11.731797006774702	98.62847504111093	9.1440262254262	1.1375958691990586	12.641227542546698	42.54024898442506	0.7408702144703977	4	
8	G004.3087+00.2222	17	54	41.06	-	25	7	25.6	T		N		10.1	260	13.94	12.1	1.68	I																								1	
9	G004.7315-00.3875	17	57	57.06	-	25	3	53.6	T		N	C	10.1	125	13.3	11.77	1.39	I	17.24804685638968	0.8372934144910552	57.693902199097	-67.30609780090299	16.093786356046255	0.677500196500409	20.52951095150669	2.363701886061338	20.407802265639766	0.7289319892836819	63.97138174161185	-51.61216398657275	18.87886252119125	-22.782720683973878	89.14895071558169	-73.5577822003565	5.256607429348084	105.61421830835286	19.536706944731023	13.58931731136804	17.318616890779616	35.23703146507809	1.046638237839669	4	improved
10	G004.8449-00.9309	18	0	17.05	-	25	14	14.7	T	HD314937	N		3.1	140	9.36	9.31	0.03	I	12.776335225985926	1.2152150908641708	197.33690334608133	57.33690334608133	14.64675937089549	1.0160576308867153	15.480774975058537	0.7702202658538566	23.322360223779185	3.109933155690408	72.57787526547045	-76.97951063131069	63.540782828161014	-52.40451427450155	113.06305729091957	-126.45911152284985	1.9767618650231178	141.16409617533168	20.465226660995306	21.666758801258077	10.421319342261055	21.110234967538855	0.8390001060329706	3	STAR
