Seq	Name	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Ref	Alias	8um	Unc	R0	PA	Hmag	4.5mag	Ak	Env	R0_fit	R0_sigma	pa_circ	delta_pa	Rc	Rc_sigma	R90p	R90p_sigma	R90n	R90n_sigma	th_p	th_m	th_p_841	th_m_841	th_p_210	th_m_210	th_g	dth_g	H_g	H_d	H_d_out	H_d_in	R0_g	Peak24	Contrast	Rating	Comment
1	G000.1169-00.5703	17	48	7.01	-	29	7	55.5	T		Y	C	26.4	27	8.97	8.72	0.22	I	30.560463223599896	1.1338310377001002	18.678346873745223	-8.321653126254777	50.853199645202814	2.0022622576018296	49.72240595355174	3.4720849132861735	50.00280486949646	5.384730999627221	73.49042488296102	-60.7837760603943	46.33289433193613	-31.369024270512284	108.81353646291237	-90.4557672960575	8.036901360547555	132.6389199567891	36.87223665514737	36.6037342992677	-11.529102074953705	48.132836374221405	32.12059763714783	182.32786947392123	1.979483556621364	4	
2	G000.3100-01.0495	17	50	27.59	-	29	12	46.8	T		N	C	6.8	145	10.57	10.31	0.23	I	8.18304866053183	0.7443414938309456	167.74503271160725	22.74503271160725	19.889977226949323	1.2097906568605077	12.522738540855897	2.758388545899968	19.190914241830946	0.5067509548342084	74.46623668378405	-69.04287209314593	23.625448242444207	-41.469991447236694	175.04989042491792	-107.71198670440961	-2.3374644646521574	112.5010477018503	11.659544779969941	4.444809141198203	-6.5937346873933045	11.038543828591507	6.445149498217844	24.589969106863027	0.5556921326519653	3	
3	G001.0563-00.1499	17	48	41.78	-	28	6	37.8	T		Y		6.2	200	11.14	9.8	1.22	H	6.696294382660737	0.7390355772433659	212.38225168041743	12.382251680417426	15.923253259873619	0.6507775314242993	8.960918210946737	1.4966528025819	14.465745666460451	1.5777760938474346	18.437416134914457	-100.21394733317909	18.437416134914457	-74.54390858563451	nan	nan	0.0	141.0	12.95802012337005	12.747121845017801	-1.0715042904309264	13.818626135448728	6.197244077624013	558.3313622605646	1.8326130277048858	3	
4	G001.2588-00.0780	17	48	53.4	-	27	53	59.7	T		N	C	10.2	215	12.28	11.22	0.96	FH	10.444416968320915	0.7212370982672596	195.09620637445042	-19.903793625549582	25.210598477181563	1.017240108949292	21.645811878087642	1.81261541091236	16.910463259695863	3.7507235716864846	72.2312184292241	-83.41954108314465	49.648076448940685	-26.83343973318719	110.77455148455016	-99.9977213956582	2.953344283282763	189.30088630969314	20.948526599550597	16.122935866992396	-2.289144150098725	18.41208001709112	11.106579930835965	76.43958732670777	0.9945135063609762	3	
5	G003.5118-00.0470	17	53	56.0	-	25	56	50.3	T		N		8.6	135	10.69	9.69	0.91	I	11.595589247033807	0.3782565658141988	99.80373877691137	-35.19626122308863	13.500222514412288	0.7169557814727151	19.123488431034602	4.108534321374381	11.936775199700586	0.78078481324043	73.74760329401374	-111.31873405167423	42.33696645118286	-40.58779577974181	124.13585823083196	-144.99655601320944	-9.831784802590843	143.17173541692617	12.591866285712829	16.087403004297208	-5.158162727853895	21.245565732151103	11.307665049780208	13.739548285354994	0.31534211860717354	3	
6	G003.7391+00.1425	17	53	43.03	-	25	39	19.2	T		N		3.9	20	11.48	9.41	1.89	I	6.816864057728043	1.1462077189055428	86.51688993127603	66.51688993127603	6.403772122142946	1.0452441560892944	10.07586522417115	1.4036865735160433	7.0366846821371345	2.2720047363544738	150.88329896183336	-92.24746613842342	112.7028655937462	-77.22378688675303	nan	nan	0.0	141.0	8.134280692587291	15.430887721234246	-2.017629493286881	17.448517214521125	7.946412043698311	16.00187881713353	0.2968250533777824	1	
7	G003.8417-01.0440	17	58	30.64	-	26	9	49.1	T		Y		12.6	25	10.22	9.87	0.31	FB	12.56133745559759	0.05447976272916577	34.9390576751353	9.939057675135302	21.197617744689037	0.34596739663317466	23.49659714387002	2.942825252927842	18.798776390558196	0.7052908653961634	83.38964256273802	-72.85304630605339	64.67760194826317	-30.64649425030882	105.04215275377754	-103.41623492332798	11.731797006774702	98.62847504111093	9.163643297496778	0.10770750167430698	-12.529091744703958	12.636799246378265	12.643061251485232	42.58914455199688	0.7426024253905088	4	
8	G004.3087+00.2222	17	54	41.06	-	25	7	25.6	T		N		10.1	260	13.94	12.1	1.68	I	5.269044182739062	2.1328783676791594	306.81808879036566	46.818088790365664	5.9332722328840735	1.2901125509768039	6.120716353913565	2.4221575550210317	9.022856638760489	1.4155229163144767	nan	-119.88215811254531	9.099244262723118	-8.005944667866402	nan	nan	0.0	141.0	8.913823389629693	16.952322386631167	1.1624005293227349	15.789921857308432	2.970598765517121	13.203518756169306	0.16116169888539203	1	
9	G004.7315-00.3875	17	57	57.06	-	25	3	53.6	T		N	C	10.1	125	13.3	11.77	1.39	I	17.003347080442452	0.34544833531841945	160.47980784406806	35.47980784406806	23.475566269067517	1.0085534170652972	20.862981198591353	2.8005206247415195	nan	nan	63.97138174161185	-51.61216398657275	18.87886252119125	-22.782720683973878	89.14895071558169	-73.5577822003565	5.256607429348084	105.61421830835286	19.583381492697274	13.69786029085236	-10.535245133788706	24.233105424641067	17.301705889759745	35.183108113889176	1.045792898125447	4	improved
10	G004.8449-00.9309	18	0	17.05	-	25	14	14.7	T	HD314937	N		3.1	140	9.36	9.31	0.03	I	11.596750795273886	0.21105736151396393	148.81827126933266	8.818271269332655	32.960195092837175	0.715936286153092	15.709707443624133	0.29038174554929075	25.454435630920607	1.5939861804480755	72.57787526547045	-76.97951063131069	63.540782828161014	-52.40451427450155	113.06305729091957	-126.45911152284985	1.9767618650231178	141.16409617533168	20.612642972886853	21.666758801258077	-2.7701184809989776	24.43687728225705	10.309765320064466	21.070796998223898	0.836903882256231	3	STAR
